edited_name,lichen,Class,Order,Family,Genus,Species
Abrothallus_buellianus,0,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,buellianus
Abrothallus_cladoniae,0,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,cladoniae
Acanthotrema_sp_EK-2013a,1,Lecanoromycetes,Ostropales,Graphidaceae,Acanthotrema,sp.
Acarospora_schleicheri,1,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,schleicheri
Acarosporina_microspora,0,Lecanoromycetes,Ostropales,Stictidaceae,Acarosporina,microspora
Acremonium_alternatum,0,Sordariomycetes,Hypocreales,Incertae sedis,Acremonium,alternatum
Acrocordia_subglobosa,1,Dothideomycetes,Monoblastiales,Monoblastiaceae,Acrocordia,subglobosa HTL940
Acrospermum_compressum,0,Dothideomycetes,Acrospermales,Acrospermaceae,Acrospermum,compressum
Acrospermum_gramineum,0,Dothideomycetes,Acrospermales,Acrospermaceae,Acrospermum,gramineum
Agyrium_rufum,0,Lecanoromycetes,Agyriales,Agyriaceae,Agyrium,rufum
Aigialus_grandis,0,Dothideomycetes,Pleosporales,Aigialaceae,Aigialus,grandis
Alectoria_ochroleuca,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,ochroleuca
Aliquandostipite_khaoyaiensis,0,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Aliquandostipite,khaoyaiensis
Alyxoria_ochrocheila,1,Arthoniomycetes,Arthoniales,Lecanographaceae,Opegrapha,ochrocheila
Ambrosiella_xylebori,0,Sordariomycetes,Microascales,Ceratocystidaceae,Ambrosiella,xylebori
Amniculicola_immersa,0,Dothideomycetes,Pleosporales,Amniculicolaceae,Amniculicola,immersa
Amniculicola_parva,0,Dothideomycetes,Pleosporales,Amniculicolaceae,Amniculicola,parva
Amphisphaeria_umbrina,0,Sordariomycetes,Xylariales,Amphisphaeriaceae,Amphisphaeria,umbrina
Andreiomyces_morozianus,1,Arthoniomycetes,Arthoniales,Andreiomycetaceae,Andreiomyces,morozianus
Aniptodera_chesapeakensis,0,Sordariomycetes,Microascales,Halosphaeriaceae,Aniptodera,chesapeakensis
Anisomeridium_ubianum,1,Dothideomycetes,Monoblastiales,Monoblastiaceae,Anisomeridium,ubianum MPN94
Anteaglonium_globosum,0,Dothideomycetes,Pleosporales,Anteagloniaceae,Anteaglonium,globosum
Anteaglonium_parvulum,0,Dothideomycetes,Pleosporales,Anteagloniaceae,Anteaglonium,parvulum
Anthracothecium_nanum,1,Eurotiomycetes,Pyrenulales,Pyrenulaceae,Anthracothecium,nanum
Aphanopsis_coenosa,1,Aphanopsidaceae,Aphanopsidaceae,Aphanopsidaceae,Aphanopsis,coenosa
Archaeorhizomyces_finlayi,0,Taphrinomycotina,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,finlayi
Arctomia_delicatula,1,Lecanoromycetes,Incertae sedis,Arctomiaceae,Arctomia,delicatula
Arthonia_dispersa,1,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,dispersa
Arthopyrenia_salicis,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Arthopyrenia,salicis 1
Arthrobotrys_elegans,0,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,elegans
Ascobolus_crenulatus,0,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,crenulatus
Aspergillus_nidulans,0,Eurotiomycetes,Eurotiales,Aspergillaceae,Emericella,nidulans
Aspicilia_caesiocinerea,1,Lecanoromycetes,Agyriales,Megasporaceae,Aspicilia,caesiocinerea
Asterina_fuchsiae,0,Dothideomycetes,Asterinales,Asterinaceae,Asterina,fuchsiae
Asterina_phenacis,0,Dothideomycetes,Asterinales,Asterinaceae,Asterina,phenacis
Astrothelium_versicolor,1,Dothideomycetes,Trypetheliales,Trypetheliaceae,Astrothelium,versicolor MPN47
Bacidia_schweinitzii,1,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia,schweinitzii
Baeomyces_sp_FJ-2013,1,Lecanoromycetes,Baeomycetales,Baeomycetaceae,Baeomyces,placophyllus
Bimuria_novae-zelandiae,0,Dothideomycetes,Pleosporales,Montagnulaceae,Bimuria,novae-zelandiae
Bisporella_citrina,0,Leotiomycetes,,,Bisporella,citrina
Botryosphaeria_dothidea,0,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,dothidea
Botrytis_cinerea,0,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,fuckeliana
Brigantiaea_cf_leucoxantha_Gaya_71,1,Lecanoromycetes,Teloschistales,Brigantiaeaceae,Brigantiaea,cf. leucoxantha
Bryoria_trichodes,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Bryoria,trichodes
Buellia_frigida,1,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,frigida
Bulgaria_inquinans,0,Leotiomycetes,Helotiales,Bulgariaceae,Bulgaria,inquinans
Byssochlamys_nivea,0,Eurotiomycetes,Eurotiales,Trichocomaceae,Byssochlamys,nivea
Byssosphaeria_schiedermayeriana,0,Dothideomycetes,Pleosporales,Melanommataceae,Byssosphaeria,schiedermayeriana
Caliciopsis_orientalis,0,Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis,orientalis
Caliciopsis_pinea,0,Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis,pinea
Calicium_viride,1,Lecanoromycetes,Caliciales,Caliciaceae,Calicium,viride
Calosphaeria_pulchella,0,Sordariomycetes,Calosphaeriales,Calosphaeriaceae,Calosphaeria,pulchella
Camarops_ustulinoides,0,Sordariomycetes,Boliniales ,Boliniaceae,Camarops,ustulinoides
Candelaria_concolor,1,Candelariales,Candelariales,Candelariaceae,Candelaria,concolor
Candelariella_aurella,1,Candelariales,Candelariales,Candelariaceae,Candelariella,aurella
Capnodium_coffeae,0,Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium,coffeae
Capronia_pilosella,0,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,pilosella
Catabotrys_deciduum,0,Sordariomycetes,Boliniales ,Catabotrydaceae,Catabotrys,deciduum
Catinella_olivacea,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Catinella,olivacea
Celothelium_cinchonarum,1,Eurotiomycetes,Pyrenulales,Celotheliaceae,Celothelium,cinchonarum
Cenococcum_geophilum,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Cenococcum,geophilum 1
Chaenotheca_furfuracea,1,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,furfuracea
Chaetothyriomycetidae_sp_TRN242,0,Eurotiomycetes,,,rock isolate,TRN242
Cheilymenia_stercorea,0,Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,stercorea
Chlorociboria_aeruginosa,0,Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,aeruginosa
Chrysothrix_caesia,1,Arthoniomycetes,Arthoniales,Chrysothrichaceae,Chrysothrix,caesia
Chrysothrix_chrysophthalma,1,Arthoniomycetes,Arthoniales,Chrysothrichaceae,Chrysothrix,chrysophthalma
Cladonia_caroliniana,1,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,caroliniana
Cladosporium_cladosporioides,0,Dothideomycetes,Capnodiales,Davidiellaceae,Cladosporium,cladosporioides
Claviradulomyces_dabeicola,0,Lecanoromycetes,Ostropales,Incertae sedis,Claviradulomyces,dabeicola
Clonostachys_rosea,0,Sordariomycetes,Hypocreales,Bionectriaceae,Bionectria,ochroleuca
Coccomyces_strobi,0,Leotiomycetes,Rhytismatales,Rhytismataceae,Coccomyces,strobi
Coccomycetella_richardsonii,0,Lecanoromycetes,Ostropales,Odontotremataceae,Coccomycetella,richardsonii
Coccotrema_cucurbitula,1,Lecanoromycetes,Agyriales,Coccotremataceae,Coccotrema,cucurbitula
Combea_mollusca,1,Arthoniomycetes,Arthoniales,Opegraphaceae,Combea,mollusca
Coniochaeta_ostrea,0,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,streum
Coniosporium_apollinis,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Coniosporium,apollonis
Coniosporium_uncinatum,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Coniosporium,uncinatum
Coniothyrium_palmarum,0,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,palmarum
Connersia_rilstonii,0,Leotiomycetes,,,Connersia,rilstonii
Cornicularia_normoerica,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Cornicularia,normoerica
Corollospora_maritima,0,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,maritima
Cucurbitaria_berberidis,0,Dothideomycetes,Pleosporales,Cucurbitariaceae,Cucurbitaria,berberidis
Cudoniella_clavus,0,Leotiomycetes,Helotiales,Helotiaceae,Cudoniella,cf. clavus
Cyphelium_tigillare,1,Lecanoromycetes,Caliciales,Caliciaceae,Cyphelium,tigillare
Cystocoleus_ebeneus,1,Dothideomycetes,Capnodiales,Incertae Sedis,Cystocoleus,ebeneus 3
Cyttaria_darwinii,0,Leotiomycetes,Cyttariales,Cyttariaceae,Cyttaria,darwinii
Dactylina_arctica,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Dactylina,arctica
Delitschia_winteri,0,Dothideomycetes,Pleosporales,Delitschiaceae,Delitschia,winteri
Dendrographa_decolorans,1,Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa,decolorans
Dendrographa_leucophaea_f_minor,1,Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa,leucophaea f. minor
Dermatocarpon_miniatum,1,Eurotiomycetes,Verrucariales,Verrucariaceae,Dermatocarpon,miniatum
Dermea_acerina,0,Leotiomycetes,Helotiales,Dermateaceae,Dermea,acerina
Diaporthe_eres,0,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,eres
Dibaeis_baeomyces,1,Lecanoromycetes,Agyriales,Icmadophilaceae,Dibaeis,baeomyces
Diploschistes_actinostomus,1,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,actinostomus
Diploschistes_cinereocaesius,1,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,cinereocaesius
Dolabra_nepheliae,0,Eurotiomycetes,,,Dolabra,nepheliae
Dothidea_insculpta,0,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,insculpta
Dothideales_sp_1_NF-2011,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Dothideales,sp.
Dothideomycetes_sp_AN13,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,rock isolate,AN13
Dothiora_cannabinae,0,Dothideomycetes,Dothideales,Dothioraceae s.l.,Dothiora,cannabinae
Dyfrolomyces_rhizophorae,0,Dothideomycetes,Dyfrolomycetales,Dyfrolomycetaceae,Saccardoella,rhizophorae
Dyfrolomyces_tiomanensis,0,Dothideomycetes,Dyfrolomycetales,Dyfrolomycetaceae,Dyfrolomyces,tiomanensis
Elaphocordyceps_capitata,0,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Elaphocordyceps,capitata
Elaphocordyceps_ophioglossoides,0,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Elaphocordyceps,ophioglossoides
Eleutherascus_lectardii,0,Pezizomycetes,Pezizales,Ascodesmidaceae,Eleutherascus,lectardii
Elsinoe_veneta,0,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,veneta
Encephalographa_elisae,1,Dothideomycetes,Incertae Sedis,Incertae Sedis,Encephalographa,elisae
Endothia_gyrosa,0,Sordariomycetes,Diaporthales,Cryphonectriaceae,Endothia,gyrosa
Epichloe_typhina,0,Sordariomycetes,Hypocreales,Clavicipitaceae,Epichloe,typhina
Eremithallus_costaricensis,1,Dothideomycetes,Eremithallales,Eremithallaceae,Eremithallus,costaricensis 1
Erysiphe_glycines,0,Leotiomycetes,Erysiphales,Erysiphe,Erysiphe,glycines
Farlowiella_carmichaeliana,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Farlowiella,carmichealiana
Fissurina_insidiosa,1,Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,insidiosa
Flavoparmelia_caperata,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia,caperata
Friedmanniomyces_endolithicus,0,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Friedmanniomyces,endolithicus
Gelasinospora_tetrasperma,0,Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,tetrasperma
Geoglossum_nigritum,0,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,nigritum
Glomerella_cingulata,0,Sordariomycetes,Incertae sedis,Glomerellaceae,Glomerella,cingulata
Glonium_circumserpens,0,Dothideomycetes,Incertae Sedis,Gloniaceae,Glonium,circumserpens
Gnomonia_gnomon,0,Sordariomycetes,Diaporthales,Gnomoniaceae,Gnomonia,gnomon
Granulopyrenis_seawardii,0,Eurotiomycetes,Pyrenulales,Requienellaceae,Granulopyrenis,seawardii
Guignardia_bidwellii,0,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Guignardia,bidwellii
Gyalecta_jenensis,1,Lecanoromycetes,Ostropales,Gyalectaceae,Gyalecta,jenensis
Gyalecta_ulmi,1,Lecanoromycetes,Ostropales,Gyalectaceae,Gyalecta,ulmi
Halojulella_avicenniae,0,Dothideomycetes,Pleosporales,Incertae Sedis,Julella,avicenniae
Heleiosa_barbatula,0,Dothideomycetes,Monoblastiales???,Incertae Sedis,Heleiosa,barbatula
Hortaea_werneckii,0,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hortaea,werneckii
Hydropisphaera_erubescens,0,Sordariomycetes,Hypocreales,Bionectriaceae,Hydropisphaera,erubescens
Hymenelia_lacustris,1,Lecanoromycetes,Incertae sedis,Hymeneliaceae,Hymenelia,lacustris
Hypocenomyce_scalaris,1,Lecanoromycetes,Umbilicariales,Ophioparmaceae,Hypocenomyce,scalaris
Hypocrea_americana,0,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,americana
Hypocrea_lutea,0,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,lutea
Hypogymnia_physodes,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,physodes
Hysterium_angustatum,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterium,angustatum
Hysterobrevium_smilacis,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterobrevium,smilacis
Hysterographium_fraxini,0,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterographium,fraxini
Hysteropatella_clavispora,0,Dothideomycetes,Patellariales,Patellariaceae,Hysteropatella,clavispora
Jahnula_sangamonensis,0,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,sangamonensis
Kellermania_yuccigena,0,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,yuccigena
Kirschsteiniothelia_aethiops,0,Dothideomycetes,Incertae Sedis,Kirschsteiniotheliaceae,Kirschsteiniothelia,aethiops
Lachnum_virgineum,0,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,virgineum
Lanspora_coronata,0,Sordariomycetes,Microascales,Halosphaeriaceae,Lanspora,coronata
Lasallia_papulosa,1,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia,papulosa
Lecanora_hybocarpa,1,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,hybocarpa
Lempholemma_polyanthes,1,Lichinomycetes,Lichinales,Lichinaceae,Lempholemma,polyanthes
Lentithecium_fluviatile,0,Dothideomycetes,Pleosporales,Lentitheciaceae,Lentithecium,fluviatile
Leotia_lubrica,0,Leotiomycetes,Helotiales,Leotiaceae,Leotia,lubrica
